Community ID,hci0,hci1,hci2,hci3,hci4,hci5,hci6,hci7,hci8,hci9,hci10,hci11,hci12,hci13,hci14,hci15,hci16,hci17,hci18,hci19,hci20,hci21,hci22,hci23,hci24,hci25,hci26,hci27,hci28,hci29,hci30,hci31,hci32,hci33,hci34,hci35,hci36,hci37,hci38,hci39,hci40,hci41,hci42,hci43,hci44,hci45,hci46,hci47,hci48,hci49
0,51,57.8685594,66.07145963,75.93810507,87.89641752,102.5075397,120.51467,142.9125935,171.047916,206.7654817,252.6252737,312.2285728,390.7162988,495.5435379,637.7055292,833.7166961,1108.873385,1502.756701,2078.744217,2940.894379,4264.796873,6355.742866,9762.244597,15506.07607,25568.16477,43962.95948,79237.6946,150624.6332,304175.7382,658205.0721,1542047.905,3960696.251,11324707.53,36734315.35,138409382.2,624168900.3,3500969362,25684472454,2.64E+11,4.15E+12,1.14E+14,6.52E+15,1.04E+18,7.04E+20,4.23E+24,8.31E+29,7.31E+37,1.29E+51,4.05E+77,1.31E+157
1,68,79.84792532,94.52021707,112.8516733,135.9714313,165.4238922,203.3466241,252.7356872,317.8471147,404.8138474,522.6094142,684.5797953,910.924367,1232.795048,1699.215809,2389.035032,3432.089399,5047.694132,7616.69866,11820.67687,18920.13138,31331.62727,53874.79443,96589.84688,181424.9301,358997.2671,753225.4226,1688490.742,4080496.5,10745141.42,31229827.23,101749610.9,378746858.9,1648947904,8646546283,56674725641,4.87E+11,5.84E+12,1.06E+14,3.29E+15,2.02E+17,3.12E+19,1.71E+22,5.67E+25,2.82E+30,1.07E+37,7.89E+46,2.24E+63,1.82E+96,1.01E+195
2,50,56.27173771,63.6947049,72.53881651,83.15090746,95.98061074,111.6163169,130.835701,154.6775584,184.5452245,222.3574542,270.7716839,333.5194262,415.9183174,525.6674849,674.106114,878.2450411,1164.117316,1572.433594,2168.370275,3058.97797,4425.073931,6581.58998,10095.88305,16028.89079,26448.26918,45573.50936,82470.48137,157779.2454,321671.0437,705535.7983,1684129.323,4437079.242,13129226.33,44590725.08,178679417.9,875200255.5,5488492372,46873156345,5.93E+11,1.25E+13,5.21E+14,5.54E+16,2.24E+19,6.76E+22,5.05E+27,1.04E+35,1.62E+47,4.01E+71,6.22E+144
3,45,50.5234632,57.04599908,64.79872773,74.07781402,85.26609159,98.86301476,115.526603,136.1328658,161.8610384,194.3174508,235.7180736,289.1615686,359.0442653,451.7016636,576.4183897,747.0497403,984.6807756,1322.08747,1811.408271,2537.694643,3643.55395,5375.41395,8173.459942,12853.29671,20988.71936,35756.88005,63904.22288,120593.7749,242166.1838,522320.0894,1223732.919,3157492.519,9126193.115,30182894.22,117341103.1,555127592.9,3343877486,27241948092,3.26E+11,6.43E+12,2.47E+14,2.36E+16,8.38E+18,2.11E+22,1.23E+27,1.74E+34,1.45E+46,1.03E+70,3.76E+141
4,50,56.30389621,63.76859617,72.66708176,83.35034329,96.27369045,112.0333374,131.4178442,155.4813056,185.6487958,223.8703227,272.8488222,336.3829491,419.8908729,531.2246362,681.9599936,889.4805528,1180.418564,1596.468907,2204.463169,3114.308013,4511.889564,6721.418192,10327.82342,16426.60004,27156.26046,46888.50269,85033.63997,163058.2658,333252.9914,732868.3153,1754330.695,4636147.192,13763567.97,46912909.9,188722170.1,928383540.9,5849925449,50228549779,6.39E+11,1.36E+13,5.71E+14,6.13E+16,2.51E+19,7.69E+22,5.87E+27,1.25E+35,2.04E+47,5.58E+71,1.16E+145
5,59,67.58389389,77.93373306,90.50713701,105.9046065,124.9218703,148.6243421,178.4543156,216.3872951,265.1631155,328.6326381,412.2859346,524.0703766,675.6803479,884.6293302,1177.647318,1596.374357,2207.129536,3118.104879,4510.47374,6696.385935,10230.67439,16133.82905,26354.81417,44773.95023,79481.84164,148238.3398,292340.5051,614250.4319,1387552.009,3406462.334,9208774.758,27854975.13,96161798.12,388370903.2,1893416645,11601156996,94166666976,1.09E+12,1.96E+13,6.33E+14,4.43E+16,9.02E+18,8.41E+21,7.69E+25,2.72E+31,5.75E+39,4.35E+53,2.52E+81,5.04E+164
6,59,67.90227179,78.69593911,91.88598663,108.1396238,128.347375,153.7106724,185.8690308,227.0871654,280.5342212,350.7067712,444.0799588,570.1271309,742.9459867,983.9033833,1326.028447,1821.476894,2554.527341,3664.815073,5390.073577,8147.247069,12691.72844,20441.77218,34166.83305,59514.92034,108573.4701,208639.6574,425185.2392,926261.5703,2177655.894,5588510.149,15872569.26,50742017.14,186425722.9,807926446.6,4268663715,28687029071,2.59E+11,3.39E+12,7.10E+13,2.74E+15,2.40E+17,6.43E+19,8.56E+22,1.26E+27,8.69E+32,5.01E+41,2.02E+56,3.35E+85,1.57E+173
7,54,61.61650492,70.76246896,81.82580915,95.31321511,111.8928792,132.4549671,158.1982204,190.7555602,232.3787195,286.2135475,356.7168085,450.2975281,576.3211431,748.7112011,988.5557034,1328.440268,1819.82084,2545.885651,3644.60928,5351.308657,8079.755443,12582.28462,20278.19706,33956.39945,59350.5098,108857.1961,210834.8302,434407.9251,960624.7681,2304130.377,6071860.779,17856601.27,59750146.59,233046997.1,1092481093,6402538663,49388121942,5.37E+11,9.04E+12,2.69E+14,1.70E+16,3.06E+18,2.43E+21,1.80E+25,4.74E+30,6.45E+38,2.35E+52,3.15E+79,7.91E+160
8,44,49.42416872,55.83654236,63.46740314,72.612304,83.65391745,97.09235518,113.5877103,134.0204523,159.5782398,191.8823665,233.1745443,286.5969901,356.6192104,449.6995836,575.3299658,747.718037,988.5550926,1331.675588,1831.099204,2575.291067,3713.202612,5503.376331,8409.854298,13296.87921,21841.36135,37448.92357,67398.11223,128163.2779,259531.4581,564950.5297,1337112.272,3489022.25,10211294.43,34247390.83,135257020.9,651433087.6,4005198492,33412684729,4.11E+11,8.38E+12,3.35E+14,3.37E+16,1.27E+19,3.49E+22,2.29E+27,3.85E+34,4.30E+46,5.41E+70,1.11E+143
9,59,68.20125841,79.39591163,93.12456403,110.103831,131.2934187,157.9926256,191.980937,235.7256259,292.6927013,367.8197707,468.2468579,604.4655748,792.1598311,1055.213192,1430.727894,1977.595005,2791.49385,4031.853605,5971.738447,9093.092473,14274.924,23179.30289,39076.29939,68688.56582,126527.2669,245665.8179,506219.3254,1116037.493,2657948.103,6917665.163,19952243.41,64873369.68,242858632.8,1074768938,5813927485,40131322896,3.74E+11,5.07E+12,1.11E+14,4.50E+15,4.17E+17,1.21E+20,1.77E+23,2.97E+27,2.45E+33,1.86E+42,1.18E+57,4.80E+86,3.35E+175
10,65,76.88936505,91.72120136,110.3951715,134.1383546,164.6438844,204.2768462,256.3844042,325.7699733,419.429844,547.7170997,726.2142581,978.8049937,1342.818076,1877.834772,2681.132795,3915.472186,5860.491681,9010.673728,14268.25064,23336.75472,39555.53355,69745.76966,128488.21,248556.7366,507850.7218,1103439.321,2569982.549,6477082.676,17863862.26,54647859.99,188478164.6,747657510.9,3496235365,19876203596,1.43E+11,1.36E+12,1.85E+13,3.88E+14,1.42E+16,1.08E+18,2.14E+20,1.60E+23,7.95E+26,6.80E+31,5.50E+38,1.27E+49,2.43E+66,8.95E+100,4.62E+204
11,58,67.65645997,79.50818825,94.17612352,112.4912726,135.5776887,164.9731035,202.8066112,252.0640573,316.9903223,403.7087929,521.1914192,682.8052421,908.8257092,1230.605989,1697.647831,2389.88169,3439.547861,5071.28133,7677.786012,11967.44323,19262.67988,32127.04917,55740.77558,101063.7137,192497.4504,387552.6288,830701.139,1911917.618,4773210.832,13084502.14,39967793.08,138513834,556891448.9,2670685712,15825288769,1.21E+11,1.27E+12,1.99E+13,5.13E+14,2.54E+16,3.01E+18,1.18E+21,2.57E+24,7.29E+28,1.26E+35,2.86E+44,1.14E+60,1.85E+91,8.05E+184
12,63,73.6079159,86.67932577,102.9269887,123.3104102,149.1355846,182.2010544,225.0147008,281.1201735,355.5959595,455.830894,592.7502923,782.7907563,1051.144418,1437.203032,2003.904429,2854.177691,4160.655932,6220.922684,9563.479234,15157.99175,24848.11444,42279.2205,74977.05142,139238.1881,272274.7642,564240.3856,1248539.711,2976396.62,7725653.442,22113754.18,70886408.55,259306787.9,1107940548,5692424513,36488003001,3.06E+11,3.57E+12,6.30E+13,1.88E+15,1.11E+17,1.63E+19,8.37E+21,2.58E+25,1.16E+30,3.82E+36,2.30E+46,4.67E+62,1.95E+95,1.46E+193
