Community ID,flow0,flow1,flow2,flow3,flow4,flow5,flow6,flow7,flow8,flow9,flow10,flow11,flow12,flow13,flow14,flow15,flow16,flow17,flow18,flow19,flow20,flow21,flow22,flow23,flow24,flow25,flow26,flow27,flow28,flow29,flow30,flow31,flow32,flow33,flow34,flow35,flow36,flow37,flow38,flow39,flow40,flow41,flow42,flow43,flow44,flow45,flow46,flow47
0,0.1805,0.4663,0.7222,0.9566,1.2316,1.7667,2.7926,4.5266,6.2531,7.7285,9.1328,10.6276,11.9606,13.3481,14.748,16.1411,17.5909,19.2262,20.6552,22.0281,23.2128,24.1877,24.9139,25.2754,25.4689,25.7425,25.9887,26.2121,26.485,27.0458,28.096,29.7261,31.3757,32.844,34.2782,35.8027,37.1231,38.3915,39.71,41.1031,42.5136,44.0726,45.5799,47.1151,48.5465,49.6721,50.528,50.9584
1,0.8416,2.0241,3.0588,4.0799,5.2245,7.2788,11.0024,17.7833,25.1801,31.5512,37.2675,42.9461,48.0108,52.8484,57.6657,62.5602,67.8755,74.4069,80.5762,86.6229,92.297,97.1626,100.6115,102.185,103.0181,104.1577,105.2171,106.2197,107.3656,109.3528,113.2419,120.0119,127.4201,133.7611,139.5522,145.3251,150.4164,155.1285,159.9361,164.9538,170.2705,176.3963,182.5984,188.8398,195.1136,200.3673,204.2366,205.9964
2,0.468,1.1383,1.7674,2.3823,3.0732,4.223,6.1967,9.2695,12.5462,15.1477,17.2929,19.4076,21.336,23.2607,25.1098,27.0039,29.0412,31.6448,34.266,36.8588,39.4268,41.4168,42.8999,43.6572,44.1375,44.8369,45.4614,46.0851,46.7844,47.9407,49.9936,53.035,56.2965,58.7947,60.9327,63.0762,64.9673,66.785,68.609,70.4548,72.37,74.7777,77.3535,80.0546,82.7691,84.882,86.5598,87.397
3,0.2699,0.667,1.0366,1.3776,1.77,2.4366,3.5756,5.3307,7.0428,8.4316,9.6004,10.7461,11.7811,12.8072,13.8224,14.8412,15.9993,17.2698,18.4834,19.6869,20.8347,21.828,22.6334,23.0526,23.3106,23.7077,24.0678,24.4292,24.8261,25.4601,26.6325,28.3358,30.0835,31.534,32.7799,33.9682,35.0074,35.9995,36.9724,38.0083,39.1438,40.3979,41.64,42.9675,44.1941,45.2135,46.0611,46.5026
4,0.1432,0.3279,0.4981,0.674,0.8668,1.2275,1.8183,2.8084,3.8233,4.7158,5.5749,6.4616,7.2669,8.0769,8.8821,9.665,10.4736,11.3639,12.269,13.1744,13.9735,14.6302,15.1059,15.3316,15.4607,15.6376,15.7996,15.9616,16.1547,16.5194,17.1412,18.1021,19.1015,19.9869,20.8556,21.7544,22.5537,23.2841,24.0421,24.7925,25.5873,26.4457,27.3444,28.285,29.1476,29.8414,30.3562,30.6016
5,0.3876,0.9848,1.5076,2.0308,2.6614,3.8921,5.8552,8.6688,11.5214,14.0685,16.4091,18.706,20.851,22.9203,24.9855,27.0497,29.3785,32.1172,34.6812,37.1047,39.2075,40.9151,42.1984,42.8332,43.2118,43.7816,44.2963,44.8154,45.4431,46.6608,48.7199,51.5103,54.3643,56.9871,59.4117,61.7667,63.8982,65.8923,67.8916,70.0491,72.3345,74.944,77.5508,80.1233,82.3825,84.1832,85.56,86.2814
6,0.2772,0.6502,0.9947,1.3507,1.7492,2.4731,3.7405,5.904,8.2754,10.2889,12.1347,14.0181,15.8133,17.5638,19.3287,21.1241,23.0515,25.5354,27.9304,30.0036,31.8044,33.3766,34.435,34.9478,35.2174,35.5767,35.9109,36.248,36.6515,37.3755,38.7133,40.8586,43.219,45.2891,47.1612,49.1561,50.9524,52.651,54.3591,56.1596,58.0377,60.3342,62.5505,64.6388,66.5426,68.1703,69.3109,69.8648
7,0.3596,0.8623,1.326,1.7736,2.3143,3.3968,5.2148,8.1754,11.064,13.3403,15.3666,17.3049,19.1148,20.9194,22.6968,24.4705,26.395,28.7277,30.8623,32.9206,34.727,36.1778,37.2856,37.8584,38.2167,38.6735,39.1043,39.5294,40.0418,41.0732,42.9591,45.8819,48.7331,51.0025,53.0751,55.1299,56.955,58.7302,60.5391,62.404,64.4086,66.6459,68.8042,71.037,73.0136,74.5897,75.8763,76.4948
8,0.1788,0.4391,0.6854,0.9381,1.2223,1.6801,2.3856,3.4428,4.5117,5.4615,6.3348,7.2096,8.0039,8.8073,9.6249,10.4619,11.3495,12.3726,13.2865,14.1545,14.913,15.5343,16.0216,16.2782,16.4623,16.6828,16.9155,17.1385,17.4111,17.8546,18.5882,19.683,20.7784,21.7466,22.6524,23.5632,24.4,25.2544,26.0676,26.945,27.8554,28.8874,29.7835,30.6851,31.5069,32.1741,32.7164,33.02
9,0.6028,1.4627,2.1981,2.8964,3.6459,4.6874,6.4622,9.1965,12.3628,15.1427,17.2171,19.1288,21.0867,23.0457,24.9718,26.8827,28.8517,31.0868,33.5245,36.1826,38.7589,41.5965,43.6637,44.6612,45.2254,46.007,46.7059,47.3751,48.0548,49.0401,50.8317,53.5733,56.8234,59.6658,61.8148,63.84,65.7752,67.6648,69.4934,71.3799,73.3108,75.4133,77.8636,80.6008,83.3688,86.2778,88.7002,89.8178
