Community ID,New_inf1,New_inf2,New_inf3,New_inf4,New_inf5,New_inf6,New_inf7,New_inf8,New_inf9,New_inf10,New_inf11,New_inf12,New_inf13,New_inf14,New_inf15,New_inf16,New_inf17,New_inf18,New_inf19,New_inf20,New_inf21,New_inf22,New_inf23,New_inf24,New_inf25,New_inf26,New_inf27,New_inf28,New_inf29,New_inf30,New_inf31,New_inf32,New_inf33,New_inf34,New_inf35,New_inf36,New_inf37,New_inf38,New_inf39,New_inf40,New_inf41,New_inf42,New_inf43,New_inf44,New_inf45,New_inf46,New_inf47,New_inf48,New_inf49,New_inf50,New_inf51,New_inf52,New_inf53,New_inf54,New_inf55,New_inf56,New_inf57,New_inf58,New_inf59,New_inf60,New_inf61,New_inf62,New_inf63,New_inf64,New_inf65,New_inf66,New_inf67,New_inf68,New_inf69,New_inf70,New_inf71,New_inf72,New_inf73,New_inf74,New_inf75,New_inf76,New_inf77,New_inf78,New_inf79,New_inf80,New_inf81,New_inf82,New_inf83,New_inf84,New_inf85,New_inf86,New_inf87,New_inf88,New_inf89,New_inf90,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90
0,0.467413404,0.414690353,0.652795887,0.427614573,0.359717245,0.56265214,0.407656141,1.773991753,0.238926703,0.42236647,0.424373359,0.238926703,0.356483196,0.463346923,0.389146507,0.485011373,0.452492491,0.236243062,0.441641933,0.636099092,0.434026732,0.517247791,0.386190129,0.820426915,0.599687011,0.575775787,0.56265214,0.802969724,0.166997494,0.518946576,4.677627035,1.61151565,2.837463948,26.22784922,2.620554217,2.671109073,1.671151215,2.669721001,1.665719053,3.162917978,2.962147945,1.544241852,12.24614964,1.746422901,2.400129978,1.336556058,1.960640101,1.275708991,1.438642507,1.577386673,2.207429113,8.32957596,0.881445343,1.378096577,3.091549083,1.632958718,1.555513567,1.613711798,2.489274939,1.643314529,1.463955935,2.394141201,1.06852116,1.370940798,0.649873527,0.927143352,1.74475029,1.063157526,0.846553467,1.502854569,0.829457847,1.126167274,0.926818509,1.014396389,0.942174087,1.45775409,1.2682894,0.986847799,0.624740941,1.201718223,0.83307348,1.200318263,1.048252307,1.001959145,0.408246123,0.557258169,1.845967477,0.831953779,0.632048085,0.705214119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.387689065,0.65320336,1.163334195,0.837675607,0.544672885,2.231676756,0.974725644,0.722055872,0.412822785,0.915282109,0.722032775,0.412822785,0.802936647,1.682455906,0.888201287,2.844964995,1.345614685,0.735293025,1.322147997,0.238825046,1.288568417,0.48140395,0.869848034,1.297530788,0.786345906,0.247298348,2.231676756,4.227779591,0.601638179,2.389228034,32.21123742,1.083299873,4.186225937,366.8265713,13.50081382,14.53986196,2.658497028,3.337351168,2.238873013,17.41950458,8.097705266,5.234689393,102.7830301,4.937274115,10.84090919,2.632308187,5.199853895,2.599043813,2.580327606,1.937819969,8.835659956,3.612857178,2.335122029,5.742969789,15.90183328,5.214710782,4.801191565,1.365742831,4.91699469,3.862864851,6.266485255,13.95859804,2.092257816,0.826650922,0.91596149,2.870601163,4.262422325,3.122126885,2.01607369,1.604132074,1.502079078,2.367776858,1.836875673,4.193706732,2.0213816,2.978199942,1.380870781,2.36744688,0.968641003,1.902977094,2.56698387,2.676879039,5.114245657,0.90278664,0.722962807,1.513241907,3.205668939,1.079337746,1.08690626,2.323619596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,120,1,1,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0.817327818,0.332350744,0.785568012,0.431718945,0.291245576,1.467217096,0.566017956,0.387469911,0.220541112,0.466967938,0.397752906,0.220541112,0.444625419,0.953105234,0.480990868,1.736065398,0.793075034,0.388944398,0.631680746,0.122752885,0.758947259,0.253541109,0.481677537,0.752555409,0.40632691,0.128766078,1.467217096,2.887339598,0.363377473,1.025657149,13.62405146,0.606512372,2.582035222,45.8253917,11.44699446,12.24163174,1.496081031,1.963974477,1.189647412,18.2166049,4.528398789,4.26244531,395.5782389,2.847789565,7.197956332,1.550099649,3.185036137,1.443882835,1.437378362,1.044715279,5.278412423,1.692513219,1.610259374,3.542898169,13.06721769,4.704836129,2.92089247,0.813432172,3.030697407,2.242120354,2.544703519,11.88418501,1.182533834,0.413998422,0.500083878,1.617213323,2.716175211,1.699136625,1.162417018,0.843854808,1.089882402,1.171483122,1.026584504,2.576519288,1.107528077,1.660574666,0.720533158,1.330410961,0.519076337,1.015482585,1.616284837,1.471796252,3.508300111,0.462420312,0.395565491,0.831808485,1.103135327,0.555454978,0.586383683,1.291443425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,2,1,0,120,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.579346086,0.246602246,0.716707534,0.268925679,0.198156408,0.889442372,0.399439072,0.263457065,0.147193404,0.3035454,0.286603669,0.147193404,0.310637256,0.759969848,0.302113635,1.875582352,0.552842999,0.232419713,0.419074727,0.087230107,0.537964223,0.182968391,0.336523694,0.533649461,0.303176829,0.105568542,0.889442372,1.815472613,0.147047025,0.763069896,8.019794755,0.429092506,2.58891569,8.314741307,10.81461509,11.58309857,0.925210077,1.337144094,0.862921614,267.6031062,2.067114694,4.625962312,12.31476154,2.054520911,4.479257565,1.192858088,2.05072202,1.176290542,1.06873074,0.754469861,3.441280459,1.038539703,1.109489443,3.115531169,12.21879739,5.470967862,1.781256551,0.658715674,2.383117732,1.7889996,1.476882926,11.30890781,0.886997592,0.253508699,0.34750087,1.118811077,1.910768392,1.052182406,0.818974977,0.645695786,0.556691304,0.814614707,0.74092209,1.736651381,0.724679192,1.195781194,0.548226813,0.962982021,0.36646178,0.69670999,1.015068435,1.05348824,2.091390475,0.35870572,0.266402062,0.595532449,0.518815525,0.406401381,0.417896741,1.063253655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.281983066,0.142286997,0.207211804,0.233272056,0.142695819,0.387149051,0.209751912,0.085510142,0.187676978,0.169058199,0.126051177,0.187676978,0.360095032,0.279660177,0.204181972,0.355187934,0.235822058,0.405521049,0.252364988,0.17563674,0.261841418,0.091775873,0.390102951,0.273908778,0.159603212,0.083046155,0.387149051,1.007436735,0.384886479,0.298497329,10.49607078,0.331908671,0.681318888,5.156567358,2.296475281,2.599806406,0.833127182,0.844114464,0.512891292,2.190206672,1.956703118,0.937686275,13.35826193,0.925074839,2.144219071,0.760003803,1.184033693,0.616098778,0.633108693,0.676251185,1.636179012,0.573398557,0.9032128,1.277707167,2.668846978,0.77219777,0.939537338,0.405644139,1.079855512,0.782544173,0.717881693,2.251335106,0.39579949,0.408687901,0.240473033,0.643745358,0.778051226,0.640097205,0.35286958,0.329611816,0.425736913,0.615561723,0.393719081,0.827942167,0.556071361,0.537379177,0.271354146,0.472285613,0.271168059,0.44194336,0.471386285,0.528357601,1.490447253,0.308749905,0.40484001,0.54142164,0.629627125,0.237147396,0.265649692,0.686499482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1.806181249,0.663711031,4.145715036,0.772492389,0.505583168,1.327218398,1.298483533,0.762999793,0.343263762,0.797612241,0.911058626,0.343263762,0.649400079,2.972612912,0.711651204,9.248290082,1.962213291,0.455112951,1.169111039,0.142491819,1.677168303,0.545631199,0.703516752,1.573126501,0.862598032,0.265174196,1.327218398,1.785454728,0.29915863,1.597300674,26.14770519,0.995097172,5.795866439,12.57705034,9.138618392,7.869521017,2.460273877,2.421342554,2.556490537,20.14216044,2.985848321,20.07835663,10.38265841,6.433001879,5.344092891,3.923200279,3.473958274,2.395205284,3.184214557,1.896597901,5.921499454,2.842052974,5.419877036,12.59358152,9.942232473,26.26539776,3.516185015,2.252073082,7.774849216,6.573899359,2.411159235,7.877814637,2.990260548,0.507553092,0.91473866,2.402624055,3.213801006,2.393696231,2.808196301,1.701784671,1.311791789,1.861904721,2.255294582,4.035055538,1.577360048,2.717495606,1.593447356,2.976597999,0.881171629,1.796822847,1.742385003,3.110005167,2.340528917,0.882641245,0.615534078,1.008336332,1.251686686,1.127744633,1.021200653,1.524731057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,0.546265184,0.263800055,0.519500806,0.329702675,0.232425621,0.813429924,0.401455101,0.293901444,0.1790427,0.356212004,0.309201801,0.1790427,0.322105111,0.682896744,0.351301046,1.055229658,0.572147881,0.336724412,0.482005174,0.097641964,0.507246242,0.202434162,0.348947203,0.516497291,0.322097679,0.100535785,0.813429924,1.695253099,0.273626531,0.864259631,18.28287548,0.469492763,1.635033969,48.28588419,5.795827148,6.233261281,1.121606252,1.305937515,0.919716782,7.486998075,4.215842441,2.141794087,43.25650715,1.922066549,4.125412364,1.105232248,1.999018621,1.092801009,1.076954193,0.786751827,3.293194516,1.362806823,1.06851414,2.287400759,6.774944823,2.167658519,1.832776652,0.607506708,2.066878666,1.549699303,2.145793536,5.965917826,0.881945982,0.340033055,0.398620237,1.213542308,1.662218476,1.187960655,0.859263839,0.649270006,0.643915002,0.913192365,0.763446423,1.694529529,0.81110407,1.251043238,0.555447216,0.966826446,0.404584253,0.75812006,0.960840208,1.07204289,2.108709038,0.38640749,0.309156508,0.621799168,1.480231483,0.447883457,0.461201996,0.930119064,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.760773696,0.370260242,0.762476633,0.473262705,0.317219536,1.142226049,0.520894401,0.362145175,0.256743581,0.451349916,0.426122369,0.256743581,0.481217064,0.916772795,0.482436449,1.458128676,0.705508178,0.510756441,0.654132311,0.182562719,0.706432718,0.288589275,0.521318486,0.72443037,0.441346286,0.140891481,1.142226049,2.531372497,0.422110467,1.047521935,400.984343,0.664995133,2.447737022,46.02487987,11.35726348,12.28385279,1.593707947,1.894521874,1.239340863,10.99411924,4.573011705,3.074546005,446.7072577,2.610683232,6.275304271,1.63125248,2.858325116,1.617346819,1.400324002,1.148099321,4.873974419,1.607254362,1.738756655,3.04565253,12.94270394,3.258507624,2.553144506,1.001418996,3.113533564,2.076014027,2.860709908,11.8137132,1.145725735,0.467930194,0.566446892,1.677327341,2.631761407,1.582649995,1.101193235,0.897368112,0.908513157,1.197382905,1.038963407,2.810495376,1.140942593,1.75027939,0.684466497,1.241536558,0.576072679,1.078384106,1.317942274,1.376504917,3.142223008,0.571213489,0.453956596,0.93492988,1.811467739,0.592319258,0.61690366,1.386311159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,4,0,1,0,0,0,1,0,0,107,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.51129406,0.174711325,0.613056122,0.217033912,0.157754268,0.53399448,0.346106974,0.244237636,0.122050971,0.249089567,0.247574029,0.122050971,0.224527818,0.627394601,0.221204699,1.669367268,0.502195711,0.263522922,0.357063381,0.072620922,0.474773055,0.157620959,0.243238469,0.418458662,0.242101092,0.064020316,0.53399448,0.940088403,0.283278744,0.541412623,6.301719404,0.328860723,2.539236956,14.16997776,3.239498246,3.372781467,1.015724441,0.934975433,0.682121354,8.876205699,1.469281959,3.772935353,20.06161405,1.643721425,2.622790238,0.930531812,1.3957781,0.818078454,0.867443423,0.565792835,2.54493618,0.864823458,1.375496989,2.811250262,3.928641823,4.45137273,1.273329873,0.513334965,1.668295018,1.480475388,0.982611637,3.183961,0.785625507,0.249839096,0.280086445,0.879602966,1.450042435,0.794675813,0.732085881,0.466683819,0.440194324,0.611576818,0.624269831,1.432335381,0.542717842,0.878191068,0.409709088,0.838564106,0.272104343,0.550506648,0.64377042,0.894288659,2.653902858,0.276793861,0.257069749,0.453073682,0.442259076,0.325218166,0.30760341,0.635858224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1.66835661,0.529896932,0.794486909,0.477101015,0.340942253,1.142472007,1.133601061,0.443704724,0.242110715,0.743866008,0.758274998,0.242110715,0.457945,3.397973835,0.519953731,16.02488697,1.801029506,0.249749479,0.940985275,0.144912577,1.549188281,0.411273307,0.496107083,1.322721366,0.695818009,0.204639626,1.142472007,1.541626542,0.160530609,1.50372559,8.532749976,0.647486162,5.934973892,2.674655571,2.887148485,2.992140335,2.081655113,1.8362208,2.039711685,4.523959959,2.591069231,7.63122648,1.859814797,9.904044373,4.653541945,1.568910491,3.145878921,1.779341481,2.947535312,1.432924512,5.704601418,2.421288102,1.130854804,132.3782853,4.970277749,7.833980959,3.266964026,0.997925645,3.498089257,10.67230409,2.031001312,3.493842715,2.509773654,0.347663129,0.736424112,3.597114621,3.499879067,2.11599839,2.505142004,1.452159973,1.013868906,1.722828711,1.921950877,4.396809746,1.20240108,3.154324125,1.51027575,2.591879549,0.719376863,1.446919578,1.494276685,2.697166311,1.760791662,0.633621433,0.357291493,0.771141013,0.901209745,0.884877509,0.837226286,1.239418835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,93,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
